k,time
1,132835539
1,119706848
1,118781764
1,118887528
1,118880563
1,119127585
1,119221602
1,119617686
1,119189849
1,118994668
1,119009898
1,119312920
1,119856663
1,119101069
1,118987159
1,119307981
1,119684512
1,118589925
1,118795019
1,118939748
2,118852620
2,118618051
2,119031326
2,118896725
2,119091566
2,118556495
2,119284554
2,118362805
2,118084559
2,118227105
2,118202780
2,118566161
2,118852479
2,119490826
2,118339012
2,118404145
2,118498582
2,118642292
2,118119343
2,119197597
3,118263634
3,119106829
3,118448624
3,118419957
3,118844573
3,118148569
3,118577348
3,118982340
3,118820465
3,119086596
3,118344590
3,119419969
3,119536327
3,119205917
3,118708202
3,120547997
3,118795585
3,118658497
3,118940991
3,118505655
4,118201753
4,118146109
4,118564721
4,117950684
4,118070465
4,118355506
4,119682921
4,118861878
4,118327498
4,118482625
4,118404643
4,117984196
4,118219492
4,118257060
4,118398355
4,117730693
4,117827920
4,118068493
4,118231476
4,118480466
5,119459276
5,118994428
5,118541529
5,119720479
5,119544112
5,118721388
5,118682271
5,118381530
5,118534585
5,118377366
5,118486186
5,119038537
5,118461736
5,118741158
5,119162047
5,118922419
5,118106618
5,117853144
5,118273493
5,118604040
6,118558165
6,118352881
6,118353060
6,117860663
6,118102577
6,118062113
6,118364934
6,118708976
6,118742356
6,118702778
6,118093738
6,117875612
6,117887318
6,118087454
6,117835837
6,118099104
6,118383040
6,119566533
6,118768149
6,118271968
7,119400925
7,120193089
7,118586267
7,118433762
7,118479955
7,118052100
7,117443488
7,117983517
7,118022072
7,118181096
7,118603439
7,121258040
7,119938582
7,119240404
7,118508006
7,117902575
7,118754796
7,117794785
7,118507286
7,118313623
8,119546704
8,118408814
8,118442134
8,118279447
8,118049948
8,117882948
8,117890617
8,117676988
8,119927150
8,118154427
8,119137735
8,118043637
8,117674390
8,118595110
8,119484930
8,119476827
8,118742837
8,118682328
8,119195321
8,119204991
9,118309273
9,118971127
9,119581165
9,118905763
9,119531229
9,118761968
9,118774134
9,119038721
9,119643171
9,119665770
9,119042129
9,120103581
9,119047441
9,118493826
9,118908689
9,119453891
9,118903990
9,119170301
9,119028259
9,118640868
10,118439723
10,118050015
10,118818915
10,118911851
10,118952472
10,118142432
10,118587284
10,118908565
10,118692719
10,119131318
10,118779695
10,119065026
10,119176503
10,118737049
10,118324208
10,118082452
10,118328598
10,117838499
10,117242877
10,117284457
11,117354960
11,117583204
11,116906574
11,117738179
11,118270206
11,119169272
11,118253567
11,119054986
11,120095914
11,119243986
11,119762595
11,118687585
11,118923287
11,118307422
11,118559416
11,118408600
11,118732671
11,118146860
11,118739946
11,119081235
12,117690950
12,117164657
12,117746153
12,117815819
12,118016424
12,117474743
12,118150541
12,117760702
12,117833299
12,118133233
12,118648237
12,118847907
12,119008591
12,118870763
12,118705491
12,118395529
12,118303673
12,118490744
12,120190166
12,119448096
13,119473132
13,119671947
13,119155796
13,120428707
13,119309472
13,119854832
13,119447427
13,119725496
13,120671149
13,119550688
13,119223541
13,118950761
13,119994930
13,119128748
13,120338188
13,120204291
13,119552497
13,120073125
13,120367425
13,121256675
14,119680337
14,118962860
14,120291859
14,118767354
14,118951671
14,118907589
14,119465374
14,119785820
14,119823870
14,118550764
14,119228216
14,118841231
14,118469411
14,118062286
14,118698626
14,118675285
14,119172318
14,118227737
14,117896594
14,117905969
15,117982355
15,117399955
15,116853791
15,116920046
15,118879201
15,119570888
15,117756739
15,117501109
15,119224929
15,117247414
15,116971971
15,117782248
15,116890354
15,117415239
15,116821084
15,117377118
15,117241498
15,116760108
15,117901068
15,117123122
16,117181352
16,117469492
16,118460755
16,117082993
16,116792155
16,116986793
16,117147391
16,116941158
16,116721450
16,117180698
16,117252837
16,117231022
16,117307641
16,117929074
16,117229409
16,117259717
16,117720649
16,116914711
16,117178918
16,117306682
17,116915826
17,116972585
17,116827428
17,116740887
17,117011229
17,117371105
17,117189603
17,117045073
17,116919915
17,117179910
17,117623531
17,117080967
17,117217705
17,117075806
17,117065667
17,117410402
17,117147433
17,116848333
17,116589055
17,117321721
18,117429272
18,117020782
18,117096576
18,117798747
18,117680286
18,117059663
18,116774602
18,117409096
18,117138592
18,116806121
18,116794212
18,117205040
18,117187984
18,117926194
18,117025072
18,116948096
18,117032165
18,117328536
18,117563960
18,116892113
19,117264454
19,116991959
19,117513050
19,116900104
19,116949599
19,116715272
19,117362041
19,117060444
19,117165466
19,117320854
19,117443096
19,117653487
19,117598268
19,117370375
19,116841001
19,116805412
19,117379933
19,117439338
19,117083255
19,117399410
20,117755391
20,116937303
20,116975110
20,116492044
20,116519913
20,117166924
20,117334971
20,116759497
20,116879255
20,116520133
20,116724994
20,116609725
20,116860768
20,116336368
20,117251108
20,117020415
20,116698075
20,116419629
20,116764295
20,117018310
21,116963670
21,116498805
21,116748622
21,116708764
21,116850261
21,117220259
21,116410636
21,116943478
21,117751407
21,117001277
21,116660316
21,116604988
21,116914572
21,117523587
21,116897958
21,116374061
21,116835347
21,116552367
21,116254211
21,116260936
22,118021202
22,116751887
22,117528520
22,117092875
22,116823463
22,116870291
22,116794822
22,116741322
22,117408291
22,116614947
22,116707106
22,116514927
22,116486021
22,116655704
22,116609313
22,116747212
22,117853135
22,116957212
22,116955425
22,117545201
23,116446826
23,117157886
23,117371415
23,116765260
23,117188657
23,117073990
23,116900533
23,116554244
23,116925275
23,116334324
23,118554500
23,116586139
23,116743924
23,116720940
23,116834019
23,118147203
23,117634495
23,116984666
23,116818331
23,116715647
24,117235254
24,117193376
24,118328513
24,117263816
24,117602854
24,117667835
24,117467522
24,117001313
24,117134980
24,118394249
24,117362646
24,117856930
24,117556300
24,117135631
24,116424196
24,116705432
24,116679059
24,117122128
24,117206949
24,116336537
25,116783618
25,116902595
25,116468679
25,117510254
25,117048258
25,116696278
25,116844552
25,116615858
25,116875276
25,117045343
25,117333819
25,117701358
25,116935437
25,116855498
25,116590769
25,116933031
25,116846140
25,117623683
25,116806229
25,117275850
26,116683492
26,117298282
26,116778576
26,116920434
26,116727811
26,117526918
26,117392758
26,117316586
26,116623838
26,117982430
26,117001217
26,118272856
26,116950565
26,116915332
26,117712523
26,117336595
26,117191901
26,116910498
26,116981589
26,118265245
27,117481969
27,116556539
27,116943970
27,117279306
27,117079538
27,118155015
27,117012041
27,116831424
27,117011038
27,116934963
27,116578457
27,116874879
27,116971421
27,117831114
27,117089349
27,116994522
27,116790352
27,116747703
27,116844584
27,116903809
28,117568084
28,116968071
28,117459167
28,117101793
28,117525385
28,117015196
28,118179527
28,118248296
28,117528289
28,117333970
28,117370457
28,116664810
28,118505114
28,118177762
28,116921534
28,116917971
28,117005045
28,117857967
28,117897935
28,118020195
29,118901072
29,118453077
29,117296495
29,117229351
29,117461870
29,117223274
29,117173717
29,118030080
29,117014513
29,116799073
29,116973632
29,116786920
29,116979218
29,116763500
29,117377396
29,117809695
29,117679082
29,116764837
29,117084024
29,117309423
30,117002221
30,117468518
30,117007775
30,116857354
30,117109001
30,116680129
30,116911159
30,117621121
30,117281170
30,117587951
30,117157694
30,117337053
30,117130070
30,117590373
30,117411233
30,117489182
30,116888506
30,117541566
30,117196690
30,117161137
31,117345853
31,117223475
31,117614920
31,117307523
31,117265948
31,117033034
31,116990166
31,116788405
31,117541512
31,117319425
31,117523732
31,116613891
31,116919900
31,116902140
31,116687134
31,116936829
31,117450294
31,117678566
31,116913187
31,116840508
32,117212410
32,117106626
32,117646262
32,117598386
32,116255501
32,117014625
32,116996967
32,118421687
32,117497488
32,117249720
32,117591927
32,117722784
32,116839420
32,117239076
32,117184301
32,117585527
32,118251011
32,117744347
32,117288493
32,117216137
33,117475699
33,116940553
33,117268494
33,120418813
33,120217786
33,118237639
33,117409125
33,117030691
33,116953181
33,116991633
33,118664398
33,117534599
33,117130141
33,116646814
33,116470607
33,116396845
33,116584282
33,116459937
33,118152625
33,117519630
34,116668073
34,117243708
34,116211529
34,116819895
34,118130869
34,117375393
34,116671736
34,116545561
34,116728186
34,116938828
34,117830522
34,116879468
34,117833282
34,117356784
34,116687934
34,116276196
34,117133634
34,116805619
34,118096120
34,116762075
35,116520192
35,116869130
35,116716717
35,117568446
35,117008991
35,117930889
35,119138391
35,118506339
35,117647987
35,116994745
35,117061090
35,116540429
35,118410397
35,117830772
35,116743433
35,117094162
35,116626179
35,116426550
35,117018986
35,116484443
36,117858470
36,116937471
36,116445476
36,116943488
36,116949080
36,116730620
36,117827070
36,116619984
36,116702798
36,116454417
36,116846114
36,116781953
36,117170676
36,116843548
36,117295214
36,117094936
36,116966142
36,116626445
36,117025904
36,118332562
37,118524774
37,117378737
37,116394229
37,116924114
37,116419952
37,116606167
37,116805059
37,116473564
37,118147602
37,117108479
37,117256352
37,116229760
37,118371374
37,117538398
37,119549938
37,117665115
37,117970647
37,118284956
37,116852140
37,117020717
38,118318889
38,118648966
38,118337958
38,116920482
38,116498677
38,116815267
38,117059226
38,116910836
38,118260992
38,116980813
38,116707364
38,116716600
38,116719035
38,116903944
38,116544448
38,116878380
38,117410382
38,117998462
38,116457731
38,116783222
39,116231338
39,116492575
39,117849065
39,116675913
39,116927917
39,116103220
39,117225623
39,116539814
39,116631332
39,117271802
39,117816140
39,116813708
39,117154278
39,116658845
39,116593523
39,116702751
39,117712361
39,116627322
39,116413216
39,116894214
40,117976207
40,118725226
40,117414425
40,117353322
40,118408207
40,117295696
40,116786950
40,117091771
40,116855668
40,117361522
40,119186739
40,116918290
40,116902286
40,116781330
40,116615696
40,116466911
40,116857503
40,116753768
40,118767984
40,116901628
41,117012302
41,116551671
41,116796144
41,116662789
41,118258994
41,116705486
41,116807196
41,116475000
41,116979121
41,116680960
41,116910268
41,116416013
41,118034909
41,117093137
41,116871652
41,116649372
41,117260898
41,117592302
41,118043216
41,116563483
42,116687524
42,116760560
42,116590271
42,116858084
42,116576622
42,116330924
42,117578897
42,116819544
42,116577776
42,116414820
42,116758233
42,116934267
42,117767225
42,116477761
42,116683521
42,116499829
42,116430811
42,116408455
42,116321781
42,116886744
43,118149628
43,118320782
43,118213721
43,117899295
43,118457910
43,117608687
43,118606802
43,117750577
43,117650212
43,117755941
43,117344650
43,117452902
43,117803649
43,117939473
43,118511205
43,117737643
43,117878646
43,117918872
43,117420511
43,118090258
44,118535279
44,117442140
44,117178025
44,117234966
44,117852573
44,117379012
44,117476194
44,117525571
44,118325090
44,117542734
44,117793770
44,117719427
44,117426069
44,117940516
44,118301276
44,117448868
44,117472926
44,117799283
44,117193565
44,117836647
45,117108761
45,118321682
45,118252492
45,118346120
45,117735649
45,117982636
45,117227511
45,117805953
45,117799139
45,117032541
45,116785922
45,116640974
45,116567953
45,116859553
45,117852785
45,117563395
45,118409680
45,117660486
45,117726832
45,117899455
46,117549265
46,117699097
46,117555177
46,117803224
46,117371728
46,116868099
46,116729195
46,117612738
46,117548329
46,118330513
46,118268622
46,117756693
46,117833197
46,117161743
46,117551326
46,118952101
46,118587594
46,118277359
46,117218233
46,117435669
47,117494188
47,116996936
47,116503918
47,117461122
47,117791703
47,117137712
47,117688284
47,117379295
47,117634912
47,117738571
47,118197908
47,117637774
47,117561710
47,117494459
47,117960745
47,118171298
47,117325212
47,117850719
47,118376305
47,117173303
48,117103639
48,118224367
48,117275418
48,120283574
48,118225993
48,117302840
48,116805638
48,116700169
48,116707571
48,116776349
48,117476023
48,118579739
48,117341203
48,116454563
48,116728949
48,116359267
48,116692871
48,117456851
48,116996700
48,117611469
49,118096480
49,117882095
49,117636240
49,117787145
49,116433980
49,117859879
49,117400217
49,116462595
49,116739164
49,116700420
49,116443035
49,118365642
49,116586447
49,116407972
49,117417748
49,117144715
49,117403631
49,117073196
49,115946519
49,117545939
50,117119164
50,116755803
50,116168726
50,116498472
50,117218716
50,117939355
50,116722421
50,116492390
50,116939120
50,116389769
50,116362751
50,116308459
50,116748920
50,117895571
50,118508793
50,116527582
50,116471297
50,116331929
50,116359728
50,117771038
51,117184568
51,116845035
51,116658041
51,116539875
51,116570741
51,116909609
51,116531111
51,117123917
51,116778750
51,116717030
51,117323711
51,117195843
51,116134041
51,117919822
51,116916682
51,116385959
51,116446574
51,116756979
51,117086087
51,117064737
52,116551071
52,117233594
52,117467351
52,116412469
52,116543190
52,116348723
52,116875369
52,117672576
52,116544876
52,116484507
52,116502983
52,117254272
52,116627616
52,116464754
52,116375360
52,117488267
52,116988169
52,116647018
52,116300355
52,116647240
53,116622397
53,117669484
53,116338505
53,116775536
53,116379930
53,116662381
53,116330163
53,116389246
53,116823961
53,116976533
53,116861352
53,116443607
53,116937291
53,117021049
53,117684276
53,117388952
53,117098929
53,116344752
53,116953690
53,116358527
54,116590520
54,116461911
54,116206137
54,117698538
54,116508463
54,116393979
54,116366194
54,116146607
54,116579562
54,117247027
54,116967893
54,116225842
54,116050169
54,116556503
54,116593291
54,116633462
54,116373501
54,117681805
54,118899032
54,118599846
55,118802814
55,118573008
55,119181261
55,119035031
55,118597026
55,118386110
55,117831561
55,117503956
55,117465959
55,117619250
55,117842657
55,118077607
55,117509747
55,117050810
55,116840287
55,118017186
55,117490707
55,117338739
55,116606860
55,117140734
56,116899734
56,116895363
56,116485703
56,117029043
56,116812996
56,117475816
56,116917453
56,117252371
56,116845855
56,116789435
56,116634246
56,116902190
56,116167086
56,117499055
56,116855377
56,116223193
56,116671817
56,116556240
56,116864310
56,117222772
57,117314829
57,117150940
57,117275361
57,116412341
57,116860015
57,117384739
57,116472503
57,116492759
57,117255363
57,116645475
57,117256276
57,116824176
57,116281678
57,116940150
57,116960656
57,116474224
57,116834216
57,116972905
57,118585811
57,119581979
58,118577493
58,117797712
58,119097123
58,119397456
58,118290163
58,117518980
58,117704576
58,119783018
58,120514080
58,120259452
58,118904163
58,117392727
58,119069128
58,118493468
58,118448684
58,117679078
58,118617584
58,117514221
58,117789003
58,119193253
59,118305551
59,120006661
59,117985460
59,117268636
59,118131050
59,117934216
59,118568974
59,119983763
59,119320945
59,119898364
59,118230976
59,119183263
59,117484705
59,118119552
59,118294885
59,119740725
59,118642246
59,117781600
59,118307006
59,118536317
60,119814317
60,117898037
60,118256797
60,118172055
60,118908380
60,118478586
60,118438872
60,118411663
60,119323440
60,119202586
60,117847916
60,118615010
60,119161648
60,118944735
60,120909051
60,119401689
60,118991592
60,118889648
60,117712708
60,117853843
61,117984838
61,118254753
61,119053963
61,119212567
61,118482648
61,118186119
61,119262654
61,119561399
61,119380980
61,119206737
61,118452336
61,118432138
61,118591440
61,118937564
61,118928179
61,118844764
61,118940250
61,118974527
61,119239002
61,119002814
62,118474393
62,119246710
62,119408925
62,118590349
62,118026112
