k,time
1,17659247
1,15713724
1,14292308
1,13219686
1,12351415
1,11713188
1,11248850
1,10742517
1,10163148
1,9742224
1,9421638
1,8759257
1,8063850
1,8052470
1,8151805
1,7922991
1,8071976
1,8131872
1,8155253
1,8000839
2,8015410
2,8125797
2,8155915
2,8141475
2,8026057
2,8093007
2,8041019
2,8103665
2,8007478
2,8050803
2,8060819
2,8058862
2,8099798
2,8135790
2,7981223
2,8062564
2,8017569
2,8142242
2,8038544
2,8059455
3,7945153
3,8111664
3,8106844
3,8001574
3,7889819
3,7951227
3,8067144
3,8061573
3,8039569
3,8024852
3,7983144
3,8017664
3,8067130
3,7982993
3,8068815
3,8190372
3,7998176
3,8047058
3,8066098
3,8099400
4,7952416
4,8059741
4,8195438
4,8135949
4,8096668
4,8078596
4,8104336
4,8151980
4,8050661
4,8189043
4,8193259
4,8122800
4,8161456
4,8040922
4,8147375
4,7937354
4,8025424
4,8102692
4,8156881
4,7991302
5,7972783
5,8065867
5,8139415
5,8052998
5,8043331
5,8100067
5,8076259
5,8194182
5,8111774
5,8099753
5,8001086
5,8061982
5,8136005
5,8219831
5,8071226
5,8009644
5,8106877
5,8156109
5,8095587
5,8040103
6,8152068
6,8053399
6,8142050
6,8125903
6,8182292
6,7974057
6,8089124
6,8164334
6,8082862
6,8028862
6,7981311
6,8155662
6,8086051
6,8044043
6,8012342
6,8156277
6,8059276
6,8105462
6,8123880
6,8175138
7,7971152
7,7999757
7,8141073
7,8021516
7,8005151
7,7923282
7,8131118
7,8034822
7,8045373
7,7958346
7,7993295
7,8015424
7,8040165
7,8098736
7,8031746
7,7960919
7,8018994
7,8089697
7,8066170
7,8040494
8,8022994
8,8086350
8,8063291
8,8028314
8,7934378
8,8183214
8,8118374
8,8070812
8,7991100
8,8043523
8,7967233
8,7965331
8,8174902
8,8113249
8,7947938
8,7994891
8,8005735
8,8114180
8,8143025
8,7936947
9,8067900
9,7905104
9,8111190
9,8101188
9,7965718
9,7914750
9,7954510
9,8111735
9,8001252
9,7938786
9,8039684
9,8019059
9,8101807
9,7952215
9,7952054
9,7890509
9,7924519
9,7939364
9,8092468
9,8013397
10,7881321
10,7980851
10,8071849
10,8011198
10,7888046
10,8012625
10,8059305
10,8007796
10,7941729
10,7999889
10,8009795
10,7916908
10,7900955
10,7896292
10,7901662
10,7912130
10,7908230
10,7897051
10,7899328
10,7896053
11,7889125
11,7893377
11,7901445
11,7895644
11,7888586
11,7899932
11,7900358
11,7895517
11,7896672
11,7941861
11,8062342
11,7994677
11,7956104
11,8020593
11,7988269
11,7974323
11,8001341
11,7871083
11,7892940
11,7973250
12,8032229
12,7924335
12,7899856
12,8015663
12,7995816
12,7995537
12,8058746
12,8039525
12,8011239
12,8017498
12,8000412
12,8039421
12,7942008
12,8049551
12,8089478
12,8117754
12,7953411
12,7952635
12,8040843
12,8109956
13,8341085
13,8480572
13,8041853
13,8000925
13,8018910
13,7962698
13,8057861
13,7951545
13,7971562
13,8017707
13,8117386
13,7915121
13,7921119
13,8075977
13,8072655
13,7941273
13,8015158
13,8005771
13,8116201
13,8010706
14,8006047
14,7938953
14,7896882
14,7968122
14,8056358
14,7965100
14,7939531
14,7918560
14,8002951
14,8062398
14,7914212
14,8025348
14,8044627
14,8100691
14,7970073
14,7971208
14,8020575
14,7947646
14,8044554
14,8069907
15,8048446
15,7933202
15,8156749
15,8075566
15,8096145
15,7906888
15,7995371
15,7995703
15,8053345
15,7958536
15,7913986
15,8079373
15,7999535
15,7992230
15,7963845
15,8043072
15,7957892
15,7962657
15,8041531
15,8015047
16,7925080
16,7923445
16,7978494
16,8123900
16,7996355
16,7946098
16,8016324
16,7992394
16,8077320
16,7943508
16,8014485
16,7947171
16,7999366
16,8025007
16,8054299
16,7963108
16,8023817
16,8070181
16,8153809
16,7987908
17,7995529
17,8053522
17,8024342
17,8032822
17,7987769
17,8078875
17,7928593
17,8002466
17,7980199
17,8043928
17,7869027
17,7954383
17,8035261
17,8053019
17,7961854
17,7940998
17,8088256
17,7963888
17,8018497
17,7983620
18,7958280
18,7977016
18,8026290
18,7917483
18,8028544
18,7972577
18,8024336
18,8031095
18,8014104
18,7930877
18,7984175
18,8091228
18,8026551
18,8005351
18,7953587
18,8099826
18,8089604
18,7999962
18,8018100
18,8034577
19,7960618
19,8033986
19,8023750
19,8043745
19,7934372
19,8028976
19,8130881
19,8008534
19,7894754
19,7868998
19,8046575
19,8049572
19,8000059
19,7911193
19,8007052
19,7919963
19,8018410
19,7926445
19,8044323
19,7952286
20,8030664
20,8007553
20,7992762
20,8058706
20,8120133
20,7995809
20,7984315
20,7910842
20,7929610
20,7966893
20,8030562
20,7965423
20,7996705
20,7956619
20,7952496
20,8060707
20,7897582
20,7894958
20,7894752
20,7889164
21,7899475
21,7919470
21,7889080
21,7900892
21,7905732
21,7880378
21,7902292
21,7962770
21,7901110
21,7911950
21,7896254
21,7899371
21,7897362
21,7902781
21,7896362
21,7957248
21,8140653
21,8018506
21,7996190
21,8038911
22,8027234
22,7961191
22,7950081
22,8024917
22,8090060
22,7958501
22,7947752
22,8022546
22,8044992
22,8062693
22,8003989
22,7924288
22,7957163
22,8063217
22,8045064
22,7969571
22,7916686
22,7980350
22,8104082
22,7980363
23,7892828
23,8025836
23,7989675
23,7944439
23,7994731
23,8013793
23,7994645
23,7955860
23,7936144
23,8088088
23,7917919
23,7882156
23,7988732
23,8070014
23,7942454
23,7900180
23,8032038
23,8044872
23,7983433
23,8051223
24,8106458
24,7957493
24,8045479
24,7986646
24,8013366
24,7903318
24,7969037
24,8027378
24,8041827
24,7941712
24,7989000
24,7976867
24,7991045
24,7893227
24,7971148
24,7868516
24,8063741
24,7929526
24,7976539
24,7949029
25,7852566
25,8043073
25,7984254
25,7940273
25,7891492
25,7933079
25,8080224
25,8072905
25,7916794
25,7861353
25,8052548
25,8459153
25,8401830
25,7940521
25,8126562
25,7912903
25,8017799
25,8102255
25,8001995
25,7896611
26,7916844
26,8014760
26,8068321
26,7935278
26,7871907
26,7987144
26,8067470
26,7900129
26,7899772
26,8003116
26,8046071
26,8000805
26,7985278
26,8064795
26,7893387
26,7933043
26,7980202
26,8092269
26,7906666
26,7887637
27,8003130
27,8077589
27,7942977
27,7952408
27,8027395
27,7999466
27,8032444
27,7952805
27,8003420
27,7971762
27,7985349
27,7897462
27,8123880
27,7920052
27,7962406
27,7948248
27,8031786
27,7876284
27,7910926
27,7971260
28,7979788
28,7913293
28,7846072
28,8016175
28,7977754
28,7960552
28,7996784
28,8012967
28,7883632
28,7921430
28,7966262
28,7988812
28,7798396
28,7948036
28,8029316
28,8020963
28,7897595
28,7837016
28,8026047
28,7947011
29,7902840
29,7984517
29,7969319
29,7883701
29,7932800
29,7883998
29,7953133
29,7847152
29,7971267
29,8001409
29,7972711
29,7948141
29,7966541
29,8010274
29,8015523
29,7828176
29,7793604
29,8006250
29,7952542
29,7941542
30,7824986
30,7919907
30,7954324
30,7876077
30,7927326
30,8002036
30,7933588
30,7921338
30,8010228
30,7989855
30,7886495
30,7919617
30,7913190
30,7941670
30,7850097
30,7897604
30,8032061
30,8045342
30,7957013
30,7849029
31,7944137
31,7961247
31,7997397
31,7833097
31,7848734
31,7830388
31,7815094
31,7841599
31,7833966
31,7845648
31,7837715
31,7858532
31,7837970
31,7842562
31,7849270
31,7837476
31,7844633
31,7836827
31,7840717
31,7835219
32,7835786
32,7832930
32,7933119
32,8014551
32,7870113
32,7911359
32,7867372
