rows,alpha,time
501,5,3137925781
501,10,1481497018
501,15,2213251383
501,20,2944574938
501,50,7264698654
501,75,10956884179
501,100,14591534253
501,300,43794962174
501,500,73131375118
501,750,109870767168
501,1000,145334869348
501,1200,173557738158
501,1300,187116991077
501,1500,214130988182
2001,5,12052723257
2001,10,1510963850
2001,15,2262464910
2001,20,3019619056
2001,50,7513399489
2001,75,11253418188
2001,100,15001840409
2001,300,45103926985
2001,500,74849363382
2001,750,112978942136
2001,1000,150888022235
2001,1200,181580046693
2001,1300,196386988003
2001,1500,227729946982
10001,5,84665091775
10001,10,1675460812
10001,15,2501312179
10001,20,3331822418
10001,50,8307718076
10001,75,12586320984
10001,100,16821369325
10001,300,50679145640
10001,500,84889262511
10001,750,127071020055
10001,1000,172035783405
10001,1200,208082663012
10001,1300,227011046095
10001,1500,264952825960
1001,5,4564907178
1001,10,1505475861
1001,15,2245788520
1001,20,2997399109
1001,50,7474885596
1001,75,11203900917
1001,100,14961243477
1001,300,44772047450
1001,500,74449773853
1001,750,112090806372
1001,1000,148640593371
1001,1200,178790115091
1001,1300,194127753060
1001,1500,221218675220
5001,5,35318922983
5001,10,1579441810
5001,15,2361075907
5001,20,3148656169
5001,50,7779252475
5001,75,11730336633
5001,100,15721871941
5001,300,46969067046
5001,500,78534753294
5001,750,118665976823
5001,1000,156777802162
5001,1200,193357177389
5001,1300,207148006792
5001,1500,238875890848
12501,5,118253010765
12501,10,1716199045
12501,15,2552858741
12501,20,3413422784
12501,50,8533162831
12501,75,13089993147
12501,100,17463614517
12501,300,52116332086
12501,500,87223244457
12501,750,130683909018
12501,1000,174392700726
12501,1200,212283183054
12501,1300,231882658357
12501,1500,277850777044
18751,5,230766762271
18751,10,1851075886
18751,15,2766740765
18751,20,3675509945
18751,50,9189663432
18751,75,13910220365
18751,100,18694454595
18751,300,56416313940
18751,500,94478046304
18751,750,143079748096
18751,1000,194604602441
18751,1200,234431585744
18751,1300,263385522456
18751,1500,289131625202
