alpha,k,accuracy,recall,precision,time
5,10,0.57268,"[0.70392,0.44144]","[0.557569,0.598546]",13224501067
5,20,0.58624,"[0.7024,0.47008]","[0.569982,0.612338]",13284150219
5,30,0.591,"[0.70488,0.47712]","[0.574119,0.617839]",13384967454
5,50,0.59532,"[0.71512,0.47552]","[0.576896,0.625355]",13098050307
5,100,0.59672,"[0.72976,0.46368]","[0.576393,0.631785]",13101304185
5,250,0.59628,"[0.75704,0.43552]","[0.572855,0.641905]",13125795345
5,500,0.5934,"[0.77416,0.41264]","[0.5686,0.646285]",13482838415
5,750,0.59,"[0.78608,0.39392]","[0.564648,0.648065]",13485826022
10,10,0.57536,"[0.7268,0.42392]","[0.557841,0.608102]",17610427695
10,20,0.5928,"[0.73144,0.45416]","[0.572654,0.628404]",17528806345
10,30,0.59736,"[0.7352,0.45952]","[0.57632,0.634416]",17507464904
10,50,0.60332,"[0.74736,0.45928]","[0.580212,0.645129]",17461666008
10,100,0.60556,"[0.76408,0.44704]","[0.580149,0.654562]",17461780282
10,250,0.60412,"[0.78824,0.42]","[0.576098,0.664809]",17498898292
10,500,0.5982,"[0.80232,0.39408]","[0.569732,0.665946]",17508718796
10,750,0.5948,"[0.80952,0.38008]","[0.56632,0.666153]",17461139686
15,10,0.58468,"[0.7484,0.42096]","[0.563792,0.625907]",22396557253
15,20,0.59464,"[0.74376,0.44552]","[0.572899,0.634861]",22235804916
15,30,0.605,"[0.75648,0.45352]","[0.580586,0.650637]",22234963274
15,50,0.60624,"[0.76168,0.4508]","[0.581045,0.654168]",22257874151
15,100,0.61116,"[0.78024,0.44208]","[0.583069,0.667956]",22246040189
15,250,0.60656,"[0.79992,0.4132]","[0.576843,0.673754]",22274465347
15,500,0.6,"[0.81208,0.38792]","[0.570217,0.673659]",22189024404
15,750,0.59768,"[0.82448,0.37088]","[0.567199,0.67877]",22212328216
20,10,0.59464,"[0.75888,0.4304]","[0.571239,0.640934]",26923130155
20,20,0.60916,"[0.7616,0.45672]","[0.583655,0.657038]",26699100911
20,30,0.61512,"[0.7708,0.45944]","[0.587787,0.66717]",26631799536
20,50,0.61848,"[0.77856,0.4584]","[0.589747,0.674276]",26620866104
20,100,0.61972,"[0.79696,0.44248]","[0.588388,0.685463]",26625554860
20,250,0.61328,"[0.8152,0.41136]","[0.580693,0.690016]",26628463569
20,500,0.60892,"[0.8316,0.38624]","[0.575358,0.69638]",26629888128
20,750,0.603,"[0.84024,0.36576]","[0.569855,0.695996]",26632918872
50,10,0.623,"[0.76576,0.48024]","[0.595681,0.672153]",52289993663
50,20,0.63796,"[0.7668,0.50912]","[0.609694,0.68585]",51821013039
50,30,0.6412,"[0.76832,0.51408]","[0.612578,0.689337]",51783373610
50,50,0.64228,"[0.77832,0.50624]","[0.611848,0.695461]",51789900615
50,100,0.64204,"[0.79136,0.49272]","[0.609376,0.702521]",51857308779
50,250,0.63368,"[0.80616,0.4612]","[0.599393,0.704079]",51841081180
50,500,0.62672,"[0.82296,0.43048]","[0.591003,0.708586]",51794075671
50,750,0.6224,"[0.8344,0.4104]","[0.585955,0.7125]",51834646934
100,10,0.61896,"[0.76416,0.47376]","[0.592188,0.667644]",95011894215
100,20,0.63228,"[0.76032,0.50424]","[0.605312,0.677815]",93957874227
100,30,0.63688,"[0.76376,0.51]","[0.609176,0.683426]",93945767154
100,50,0.63856,"[0.76872,0.5084]","[0.60994,0.687324]",93764765781
100,100,0.63964,"[0.77808,0.5012]","[0.60936,0.693108]",93800049145
100,250,0.63528,"[0.79256,0.478]","[0.602909,0.697362]",93842045205
100,500,0.62888,"[0.80816,0.4496]","[0.594865,0.700923]",93677472123
100,750,0.6242,"[0.82592,0.42248]","[0.588497,0.708194]",93716945685
500,10,0.61564,"[0.78344,0.44784]","[0.586583,0.674052]",541940437402
500,20,0.62936,"[0.7748,0.48392]","[0.600211,0.682423]",538813605190
500,30,0.63116,"[0.77368,0.48864]","[0.602067,0.683451]",554330596541
500,50,0.6344,"[0.77832,0.49048]","[0.604361,0.688722]",535242412530
500,100,0.6362,"[0.782,0.4904]","[0.605451,0.692264]",542664463506
500,250,0.63148,"[0.79384,0.46912]","[0.599251,0.694704]",547343789642
500,500,0.62908,"[0.81736,0.4408]","[0.59377,0.707045]",553369161203
500,750,0.62348,"[0.83328,0.41368]","[0.586982,0.71275]",522721183372
1200,10,0.62176,"[0.77248,0.47104]","[0.593558,0.674301]",1313185420102
1200,20,0.6346,"[0.7712,0.498]","[0.605718,0.685195]",1298879139323
1200,30,0.63712,"[0.77024,0.504]","[0.608289,0.686873]",1328506544421
1200,50,0.63768,"[0.77216,0.5032]","[0.608498,0.688334]",1334859704582
1200,100,0.63672,"[0.77752,0.49592]","[0.606679,0.690312]",1332950038737
1200,250,0.6314,"[0.79312,0.46968]","[0.599287,0.694218]",1313164234862
1200,500,0.62488,"[0.80776,0.442]","[0.591436,0.696897]",1346636230583
1200,750,0.6222,"[0.82464,0.41976]","[0.586983,0.705337]",1350254307663
1500,10,0.62028,"[0.77144,0.46912]","[0.592358,0.6724]",1676310842220
1500,20,0.63376,"[0.76912,0.4984]","[0.605263,0.683414]",1651577158998
1500,30,0.63592,"[0.7656,0.50624]","[0.607928,0.683517]",1654926772071
1500,50,0.63932,"[0.77256,0.50608]","[0.610006,0.689933]",1657263951515
1500,100,0.6376,"[0.7796,0.4956]","[0.607165,0.692179]",1729329575594
1500,250,0.63228,"[0.79152,0.47304]","[0.600328,0.694096]",1688474056013
1500,500,0.62448,"[0.80632,0.44264]","[0.591282,0.695625]",1668663881828
1500,750,0.62188,"[0.82376,0.42]","[0.586824,0.704414]",1674494729614
