alpha,k,time
1,1,533443
1,1,417191
1,1,434715
1,1,423236
1,1,420359
1,1,436250
1,1,414649
1,1,428865
1,1,421884
1,1,425394
1,1,418873
1,1,423794
1,1,415557
1,1,433889
1,1,430547
1,1,430014
1,1,414782
1,1,423969
1,1,414843
1,1,423948
1,2,414193
1,2,423677
1,2,415301
1,2,435305
1,2,416546
1,2,423968
1,2,415290
1,2,443264
1,2,416233
1,2,425018
1,2,416349
1,2,426567
1,2,428945
1,2,424967
1,2,414969
1,2,430370
1,2,415908
1,2,423728
1,2,415417
1,2,424455
1,3,414680
1,3,423964
1,3,429283
1,3,431440
1,3,415482
1,3,424989
1,3,415407
1,3,425770
1,3,414198
1,3,425761
1,3,414835
1,3,434372
1,3,415146
1,3,426148
1,3,417294
1,3,423483
1,3,415741
1,3,424777
1,3,416381
1,3,424048
1,4,426551
1,4,432210
1,4,415479
1,4,424830
1,4,414644
1,4,424573
1,4,414890
1,4,423903
1,4,415932
1,4,425040
1,4,430196
1,4,425829
1,4,415513
1,4,425514
1,4,414987
1,4,423715
1,4,415090
1,4,425027
1,4,417404
1,4,438812
1,5,415386
1,5,424615
1,5,415459
1,5,424278
1,5,415060
1,5,424017
1,5,422463
1,5,447367
1,5,440793
1,5,443206
1,5,429383
1,5,443449
1,5,429938
1,5,441374
1,5,429209
1,5,440884
1,5,428532
1,5,451792
1,5,429511
1,5,439690
1,6,428028
1,6,446143
1,6,428625
1,6,441848
1,6,428818
1,6,440898
1,6,438091
1,6,442637
1,6,428663
1,6,428881
1,6,429175
1,6,429272
1,6,429294
1,6,428666
1,6,429649
1,6,440925
1,6,431332
1,6,428628
1,6,428700
1,6,427733
1,7,428416
1,7,500045
1,7,454735
1,7,431033
1,7,452032
1,7,429029
1,7,452263
1,7,429431
1,7,442115
1,7,428449
1,7,441212
1,7,430142
1,7,440517
1,7,439411
1,7,440375
1,7,429534
1,7,440521
1,7,429947
1,7,441679
1,7,430179
1,8,440554
1,8,442259
1,8,440192
1,8,440659
1,8,430096
1,8,439874
1,8,439470
1,8,440396
1,8,430805
1,8,447023
1,8,439223
1,8,458155
1,8,430052
1,8,440731
1,8,429805
1,8,439816
1,8,429412
1,8,439853
1,8,429563
1,8,439526
1,9,441638
1,9,441898
1,9,430365
1,9,440093
1,9,434768
1,9,500659
1,9,429551
1,9,452652
1,9,431653
1,9,451615
1,9,429355
1,9,439338
1,9,428750
1,9,441433
1,9,429097
1,9,446064
1,9,429365
1,9,440288
1,9,443554
1,9,438816
1,10,428402
1,10,439388
1,10,428510
1,10,440694
1,10,428750
1,10,439612
1,10,429518
1,10,457918
1,10,430219
1,10,442429
1,10,428027
1,10,446020
1,10,429131
1,10,454001
1,10,428756
1,10,440341
1,10,429317
1,10,441413
1,10,429376
1,10,437567
1,11,433757
1,11,438601
1,11,429836
1,11,437697
1,11,428609
1,11,453046
1,11,429212
1,11,437346
1,11,428168
1,11,438039
1,11,428542
1,11,437334
1,11,428934
1,11,439399
1,11,440572
1,11,437570
1,11,429524
1,11,448916
1,11,429682
1,11,451162
1,12,429158
1,12,437536
1,12,428368
1,12,449533
1,12,426350
1,12,437084
1,12,424996
1,12,441423
1,12,438574
1,12,440576
1,12,429014
1,12,440185
1,12,445541
1,12,438852
1,12,428228
1,12,440688
1,12,431432
1,12,439164
1,12,428725
1,12,437613
1,13,429056
1,13,451407
1,13,429251
1,13,438288
1,13,429709
1,13,453212
1,13,428973
1,13,439127
1,13,429233
1,13,429113
1,13,445844
1,13,432500
1,13,430610
1,13,434054
1,13,442840
1,13,439721
1,13,429970
1,13,453860
1,13,432502
1,13,451617
1,14,430587
1,14,444957
1,14,430839
1,14,444163
1,14,430604
