alpha,k,time
1,1,463556
1,1,416017
1,1,414419
1,1,413778
1,1,413685
1,1,413749
1,1,413686
1,1,414051
1,1,413257
1,1,523730
1,1,481030
1,1,414166
1,1,422381
1,1,414890
1,1,413934
1,1,413664
1,1,413537
1,1,413492
1,1,429546
1,1,415437
1,2,414023
1,2,415611
1,2,413266
1,2,413451
1,2,413892
1,2,414144
1,2,413498
1,2,414091
1,2,424782
1,2,413021
1,2,415082
1,2,413273
1,2,413500
1,2,413692
1,2,418595
1,2,413585
1,2,413497
1,2,426313
1,2,414404
1,2,413541
1,3,423988
1,3,414567
1,3,419442
1,3,414292
1,3,413786
1,3,413480
1,3,415023
1,3,427289
1,3,414154
1,3,413388
1,3,418035
1,3,413379
1,3,414231
1,3,413751
1,3,413314
1,3,414039
1,3,426151
1,3,414789
1,3,414547
1,3,413518
1,4,414434
1,4,413578
1,4,414060
1,4,413744
1,4,414683
1,4,425401
1,4,418187
1,4,414088
1,4,422726
1,4,414833
1,4,413856
1,4,414714
1,4,413913
1,4,413742
1,4,420228
1,4,426399
1,4,417588
1,4,413923
1,4,413350
1,4,413972
1,5,414747
1,5,413978
1,5,420543
1,5,414351
1,5,431503
1,5,414077
1,5,414432
1,5,413491
1,5,413669
1,5,413847
1,5,417834
1,5,414517
1,5,414124
1,5,414230
1,5,432735
1,5,413422
1,5,413984
1,5,413934
1,5,414627
1,5,414473
1,6,414097
1,6,413310
1,6,413585
1,6,429734
1,6,414148
1,6,417433
1,6,414005
1,6,413464
1,6,420517
1,6,414552
1,6,413623
1,6,414490
1,6,420670
1,6,426089
1,6,423218
1,6,414541
1,6,414880
1,6,414692
1,6,421108
1,6,414541
1,7,413998
1,7,414607
1,7,428593
1,7,416593
1,7,429797
1,7,414350
1,7,414644
1,7,413499
1,7,421123
1,7,414246
1,7,421241
1,7,428553
1,7,429127
1,7,414235
1,7,413395
1,7,414684
1,7,420200
1,7,421327
1,7,414908
1,7,414476
1,8,420003
1,8,425450
1,8,414804
1,8,414190
1,8,422850
1,8,414983
1,8,421043
1,8,413553
1,8,414784
1,8,414391
1,8,425401
1,8,414597
1,8,437818
1,8,425510
1,8,458057
1,8,447503
1,8,425980
1,8,436529
1,8,414120
1,8,444094
1,9,453277
1,9,434880
1,9,449480
1,9,448755
1,9,446551
1,9,420709
1,9,425880
1,9,430108
1,9,469958
1,9,435034
1,9,438550
1,9,426388
1,9,428743
1,9,435553
1,9,446827
1,9,420182
1,9,421412
1,9,441899
1,9,414623
1,9,413836
1,10,426206
1,10,435758
1,10,435111
1,10,422482
1,10,413612
1,10,434585
1,10,453030
1,10,422007
1,10,435835
1,10,413612
1,10,439931
1,10,438940
1,10,413903
1,10,414210
1,10,414578
1,10,414015
1,10,448323
1,10,414211
1,10,434200
1,10,435489
1,11,435114
1,11,420101
1,11,413861
1,11,414102
1,11,414401
1,11,456835
1,11,418193
1,11,413734
1,11,414860
1,11,439719
1,11,414070
1,11,440018
1,11,413819
1,11,413486
1,11,452591
1,11,422609
1,11,439381
1,11,415190
1,11,414016
1,11,438831
1,12,414911
1,12,436181
1,12,440050
1,12,445818
1,12,436213
1,12,413985
1,12,414605
1,12,414297
1,12,414217
1,12,452042
1,12,415685
1,12,436510
1,12,435616
1,12,433315
1,12,438940
1,12,436238
1,12,439252
1,12,439418
1,12,414379
1,12,439698
1,13,414498
1,13,415062
1,13,450873
1,13,434375
1,13,414379
1,13,438025
1,13,414209
1,13,436822
1,13,413886
1,13,414454
1,13,414390
1,13,432416
1,13,438075
1,13,414942
1,13,436452
1,13,437340
1,13,415033
1,13,442863
1,13,437200
1,13,437788
1,14,448711
1,14,413904
1,14,436686
1,14,414726
1,14,440772
1,14,436421
1,14,414757
1,14,436902
1,14,436582
1,14,450222
1,14,423205
1,14,414268
1,14,414598
1,14,414568
1,14,414666
1,14,452030
1,14,415635
1,14,413534
1,14,451099
1,14,415533
1,15,440820
1,15,413731
1,15,414168
1,15,436976
1,15,440863
1,15,422728
1,15,414623
1,15,436120
1,15,446807
1,15,436433
1,15,437433
1,15,437336
1,15,436707
1,15,437212
1,15,413944
1,15,436611
1,15,414517
1,15,432058
1,15,439006
1,15,414909
1,16,436775
1,16,436907
1,16,415035
1,16,435346
1,16,436781
1,16,437132
1,16,447572
1,16,440501
1,16,436723
1,16,414656
1,16,414651
1,16,417514
1,16,440826
1,16,414410
1,16,437535
1,16,426566
1,16,436414
1,16,414874
1,16,436010
1,16,414099
1,17,414152
1,17,444574
1,17,415079
1,17,436316
1,17,449599
1,17,413727
1,17,436589
1,17,436332
1,17,437060
1,17,435196
1,17,414406
1,17,436445
1,17,414079
1,17,424680
1,17,413926
1,17,445520
1,17,413597
1,17,437539
1,17,436367
1,17,413908
1,18,415080
1,18,414563
1,18,414344
1,18,459580
1,18,446913
1,18,415745
1,18,414464
1,18,440003
1,18,414340
1,18,444997
1,18,414399
1,18,414468
1,18,452755
1,18,439507
1,18,414503
1,18,440304
1,18,440749
1,18,415332
1,18,440572
1,18,439482
1,19,436049
1,19,458219
1,19,436401
1,19,414718
1,19,414486
1,19,422457
1,19,436478
1,19,438530
1,19,415833
1,19,414358
1,19,447659
1,19,436166
1,19,436827
1,19,434844
1,19,439395
1,19,439894
1,19,440313
1,19,439965
1,19,444194
1,19,453205
1,20,439242
1,20,444577
1,20,414424
1,20,437137
1,20,435860
1,20,436685
1,20,413716
1,20,436254
1,20,426240
1,20,414295
1,20,439005
1,20,414505
1,20,436644
1,20,415225
1,20,440409
1,20,446862
1,20,436964
1,20,449744
1,20,439368
1,20,439190
1,21,414331
1,21,414220
1,21,439561
1,21,439547
1,21,414761
1,21,436308
1,21,457876
1,21,436546
1,21,437474
1,21,414095
1,21,414892
1,21,414192
1,21,413703
1,21,418617
1,21,415013
1,21,414442
1,21,452558
1,21,444235
1,21,415591
1,21,436172
1,22,414734
1,22,450895
1,22,441018
1,22,439468
1,22,443405
1,22,450418
1,22,440258
1,22,440003
1,22,436011
1,22,437099
1,22,414661
1,22,436940
1,22,414067
1,22,436178
1,22,425486
1,22,413679
1,22,439507
1,22,423028
1,22,436719
1,22,450041
1,23,415622
1,23,418154
1,23,436983
1,23,460560
1,23,440045
1,23,440956
1,23,415088
1,23,414836
1,23,440001
1,23,454728
1,23,415413
1,23,437168
1,23,426048
1,23,437448
1,23,435655
1,23,414735
1,23,435137
1,23,415123
1,23,420026
1,23,454593
1,24,414766
1,24,427154
1,24,439992
1,24,422914
1,24,435936
1,24,423192
1,24,437303
1,24,414968
1,24,441028
1,24,444952
1,24,426616
1,24,437079
1,24,440881
1,24,439063
1,24,436809
1,24,437238
1,24,414799
1,24,440133
1,24,415040
1,24,425638
1,25,436793
1,25,414423
1,25,444350
1,25,414894
1,25,440181
1,25,414907
1,25,444709
1,25,414344
1,25,427931
1,25,422959
1,25,439480
1,25,439607
1,25,415265
1,25,436833
1,25,440721
1,25,440428
1,25,440122
1,25,436862
1,25,438053
1,25,436910
1,26,436897
1,26,414511
1,26,437174
1,26,436678
1,26,415136
1,26,439433
1,26,415508
1,26,446778
1,26,436500
1,26,441061
1,26,437465
1,26,414735
1,26,440448
1,26,440209
1,26,439689
1,26,441006
1,26,427069
1,26,446828
1,26,444968
1,26,415302
1,27,437225
1,27,437564
1,27,435899
1,27,436432
1,27,414848
1,27,452623
1,27,437216
1,27,417249
1,27,437971
1,27,414726
1,27,416003
1,27,438075
1,27,415045
1,27,437039
1,27,426492
1,27,440667
1,27,414975
1,27,415313
1,27,414681
1,27,415369
1,28,439758
1,28,420425
1,28,415531
1,28,450774
1,28,436512
1,28,425723
1,28,414793
1,28,423441
1,28,437490
1,28,440343
1,28,415655
1,28,439853
1,28,425076
1,28,437429
1,28,415332
1,28,437469
1,28,436618
1,28,415235
1,28,440456
1,28,439960
1,29,439511
1,29,450701
1,29,414600
1,29,440140
1,29,438924
1,29,440677
1,29,436826
1,29,436514
1,29,436673
1,29,437506
1,29,427375
1,29,415317
1,29,436769
1,29,417534
1,29,439323
1,29,414130
1,29,436748
1,29,439948
1,29,436540
1,29,437349
1,30,426206
1,30,439770
1,30,439623
1,30,414556
1,30,445580
1,30,416176
1,30,447608
1,30,440532
1,30,441246
1,30,426255
1,30,435576
1,30,436704
1,30,435905
1,30,414974
1,30,438087
1,30,442209
1,30,422746
1,30,438987
1,30,426290
1,30,414467
1,31,437028
1,31,415146
1,31,436190
1,31,415233
1,31,439779
1,31,439826
1,31,445932
1,31,450729
1,31,415270
1,31,444747
1,31,439809
1,31,415674
1,31,435709
1,31,421392
1,31,436690
1,31,437086
1,31,435374
1,31,415054
1,31,439245
1,31,417069
1,32,416075
1,32,414717
1,32,414885
1,32,415509
1,32,415713
1,32,436785
1,32,414837
1,32,453548
1,32,441278
1,32,440002
1,32,441031
1,32,414939
1,32,414690
1,32,450620
1,32,448061
1,32,452991
1,32,436206
1,32,436902
1,32,440398
1,32,414513
1,33,415213
1,33,436914
1,33,417697
1,33,428009
1,33,415249
1,33,423261
1,33,436183
1,33,435717
1,33,437842
1,33,441034
1,33,440533
1,33,440389
1,33,415336
1,33,428121
1,33,415047
1,33,444463
1,33,415549
1,33,436858
1,33,436547
1,33,451308
1,34,436872
1,34,440201
1,34,424929
1,34,415310
1,34,437163
1,34,427348
1,34,438215
1,34,415007
1,34,436978
1,34,450766
1,34,442330
1,34,447236
1,34,436608
1,34,414728
1,34,415772
1,34,414950
1,34,441081
1,34,421165
1,34,414984
1,34,437265
1,35,449674
1,35,438280
1,35,414685
1,35,415229
1,35,436445
1,35,421007
1,35,415372
1,35,415286
1,35,426042
1,35,432836
1,35,415636
1,35,423873
1,35,437615
1,35,423085
1,35,415220
1,35,421246
1,35,438958
1,35,438700
1,35,450486
1,35,440893
1,36,440774
1,36,441308
1,36,441088
1,36,437930
1,36,437804
1,36,438478
1,36,437547
1,36,451999
1,36,415096
1,36,414935
1,36,442000
1,36,419277
1,36,437096
1,36,415376
1,36,436492
1,36,437914
1,36,447461
1,36,438105
1,36,441171
1,36,441218
1,37,415820
1,37,441116
1,37,440057
1,37,420774
1,37,441534
1,37,450409
1,37,415496
1,37,438589
1,37,438571
1,37,436285
1,37,436948
1,37,415752
1,37,415615
1,37,437799
1,37,419134
1,37,437136
1,37,415314
1,37,438148
1,37,437593
1,37,441477
1,38,437594
1,38,440533
1,38,440556
1,38,440522
1,38,425904
1,38,441180
1,38,415604
1,38,415856
1,38,441019
1,38,416071
1,38,438590
1,38,450971
1,38,441341
1,38,425312
1,38,415182
1,38,415729
1,38,414880
1,38,427146
1,38,441105
1,38,421415
1,39,438028
1,39,416855
1,39,429446
1,39,423468
1,39,441273
1,39,423899
1,39,440952
1,39,441611
1,39,441155
1,39,414689
1,39,440176
1,39,450743
1,39,443142
1,39,438042
1,39,438139
1,39,437141
1,39,437494
1,39,416059
1,39,437515
1,39,438039
1,40,430648
1,40,437080
1,40,416124
1,40,437091
1,40,437765
1,40,421778
1,40,415678
1,40,422033
1,40,442080
1,40,427401
1,40,416567
1,40,441321
1,40,419993
1,40,416721
1,40,441809
1,40,437379
1,40,438972
1,40,436777
1,40,447271
1,40,437521
1,41,415731
1,41,436918
1,41,439889
1,41,417535
1,41,438000
1,41,415677
1,41,438425
1,41,451944
1,41,416380
1,41,415010
1,41,415300
1,41,441005
1,41,414909
1,41,445732
1,41,440663
1,41,421051
1,41,446602
1,41,426925
1,41,437413
1,41,415414
1,42,415660
1,42,438212
1,42,441657
1,42,417001
1,42,438220
1,42,440859
1,42,428751
1,42,438449
1,42,415590
1,42,437577
1,42,415510
1,42,415245
1,42,416916
1,42,441212
1,42,440965
1,42,451188
1,42,419895
1,42,441327
1,42,414796
1,42,440588
1,43,441121
1,43,437590
1,43,445056
1,43,438533
1,43,450150
1,43,438489
1,43,416040
1,43,437466
1,43,440169
1,43,416675
1,43,415558
1,43,415985
1,43,437660
1,43,453727
1,43,415943
1,43,415920
1,43,441074
1,43,426100
1,43,441753
1,43,415644
1,44,445810
1,44,415799
1,44,425257
1,44,416032
1,44,437972
1,44,437947
1,44,438213
1,44,438030
1,44,440764
1,44,415879
1,44,441561
1,44,452179
1,44,417647
1,44,423859
1,44,416499
1,44,437555
1,44,438326
1,44,415823
1,44,415491
1,44,415897
1,45,415714
1,45,425668
1,45,439474
1,45,440733
1,45,416488
1,45,440879
1,45,441760
1,45,437887
1,45,415550
1,45,415664
1,45,426806
1,45,440755
1,45,416340
1,45,416020
1,45,448635
1,45,416838
1,45,440503
1,45,415682
1,45,441635
1,45,447781
1,46,416178
1,46,415497
1,46,442217
1,46,423950
1,46,440967
1,46,441039
1,46,441256
1,46,416162
1,46,452849
1,46,441053
1,46,437454
1,46,437353
1,46,437630
1,46,437733
1,46,416595
1,46,415640
1,46,437237
1,46,450097
1,46,416381
1,46,438610
1,47,415833
1,47,437740
1,47,437728
1,47,415690
1,47,415810
1,47,438825
1,47,430383
1,47,441494
1,47,441112
1,47,445767
1,47,416213
1,47,441980
1,47,442578
1,47,437938
1,47,438468
1,47,447601
1,47,439322
1,47,439030
1,47,415896
1,47,438492
1,48,445095
1,48,416370
1,48,441310
1,48,416071
1,48,447530
1,48,439325
1,48,415698
1,48,415904
1,48,442290
1,48,441088
1,48,441057
1,48,415664
1,48,441791
1,48,427337
1,48,446607
1,48,438202
1,48,416569
1,48,437730
1,48,438244
1,48,438097
1,49,439452
1,49,416019
1,49,449737
1,49,421033
1,49,416011
1,49,417138
1,49,415774
1,49,415727
1,49,416119
1,49,416322
1,49,415845
1,49,447223
1,49,453080
1,49,441750
1,49,415949
1,49,440638
1,49,415758
1,49,441371
1,49,438554
1,49,438303
1,50,438757
1,50,450151
1,50,440748
1,50,438581
1,50,416319
1,50,437918
1,50,439982
1,50,419353
1,50,437648
1,50,416317
1,50,447366
1,50,437214
1,50,416160
1,50,445042
1,50,416461
1,50,442275
1,50,416148
1,50,419256
1,50,440125
1,50,429863
1,51,416531
1,51,438867
1,51,438769
1,51,450578
