alpha,k,time
1,1,61816
1,2,41148
1,3,36249
1,4,35077
1,5,34875
1,6,34184
1,7,34593
1,8,34073
1,9,33847
1,10,33865
1,11,33719
1,12,33669
1,13,33702
1,14,33654
1,15,33611
1,16,33647
1,17,33662
1,18,37486
1,19,38078
1,20,33992
1,21,33784
1,22,42785
1,23,34132
1,24,33806
1,25,49631
1,26,33728
1,27,33667
1,28,33631
1,29,33672
1,30,33640
1,31,33687
1,32,33716
1,33,33783
1,34,33718
1,35,33694
1,36,33625
1,37,33526
1,38,39630
1,39,33581
1,40,33649
1,41,40927
1,42,38018
1,43,36070
1,44,43416
1,45,36253
1,46,35678
1,47,35639
1,48,35647
1,49,35607
1,50,35456
1,51,35579
1,52,35678
1,53,35579
1,54,35545
1,55,35512
1,56,35283
1,57,35463
1,58,35385
1,59,39707
1,60,35338
1,61,43102
1,62,33817
1,63,33615
1,64,39108
1,65,33718
1,66,33462
1,67,33414
1,68,33484
1,69,33553
1,70,33554
1,71,33520
1,72,33508
1,73,33476
1,74,33528
1,75,33418
1,76,33416
1,77,33457
1,78,33438
1,79,33563
1,80,33495
1,81,33487
1,82,33464
1,83,44522
1,84,33898
1,85,33651
1,86,43431
1,87,33853
1,88,33652
1,89,33621
1,90,33684
1,91,33689
1,92,33634
1,93,33657
1,94,33527
1,95,33470
1,96,33519
1,97,33544
1,98,33558
1,99,33480
1,100,33589
1,101,33604
1,102,33579
1,103,33550
1,104,33576
1,105,33521
1,106,45577
1,107,36683
1,108,35844
1,109,42533
1,110,35972
1,111,35674
1,112,35702
1,113,35596
1,114,35695
1,115,35747
1,116,35595
1,117,35680
1,118,35631
1,119,35593
1,120,51152
1,121,38235
1,122,35615
1,123,35560
1,124,35549
1,125,35624
1,126,46194
1,127,38404
1,128,33467
1,129,40904
1,130,36107
1,131,33411
1,132,33406
1,133,33387
1,134,33428
1,135,33391
1,136,33498
1,137,33461
1,138,33471
1,139,33448
1,140,33433
1,141,33401
1,142,33451
1,143,33517
1,144,33389
1,145,33451
1,146,33433
1,147,37316
1,148,33801
1,149,33469
1,150,36159
1,151,43238
1,152,35876
1,153,33625
1,154,33495
1,155,33536
1,156,33561
1,157,33638
1,158,33581
1,159,33535
1,160,33602
1,161,33466
1,162,33515
1,163,33582
1,164,33524
1,165,33573
1,166,33490
1,167,37988
1,168,35997
1,169,33617
1,170,38561
1,171,40008
1,172,33464
1,173,33117
1,174,33394
1,175,33444
1,176,33437
1,177,33498
1,178,33467
1,179,33503
1,180,33380
1,181,33566
1,182,33535
1,183,33574
1,184,33502
1,185,33500
1,186,33532
1,187,33417
1,188,33467
1,189,33562
1,190,33503
1,191,42347
1,192,33447
1,193,33425
1,194,33445
1,195,33449
1,196,33453
1,197,33542
1,198,33435
1,199,33478
1,200,33448
1,201,33486
1,202,33448
1,203,33445
21,1,128394
21,2,89895
21,3,86156
21,4,85123
21,5,84473
21,6,84471
21,7,84167
21,8,97166
21,9,84997
21,10,83970
21,11,83991
21,12,83812
21,13,83915
21,14,83842
21,15,83762
21,16,83758
21,17,83783
21,18,83769
21,19,83771
21,20,83819
21,21,83846
21,22,83741
21,23,83814
21,24,83776
21,25,83917
21,26,83736
21,27,83763
21,28,83763
21,29,83766
21,30,83802
21,31,83686
21,32,83936
21,33,83709
21,34,83894
21,35,83793
21,36,83798
21,37,83762
21,38,83825
21,39,83799
21,40,83879
21,41,83596
21,42,83872
21,43,83811
21,44,83910
21,45,83836
21,46,83913
21,47,83875
21,48,83830
21,49,83908
21,50,83788
21,51,99157
21,52,122996
21,53,85142
21,54,83999
21,55,84064
21,56,83904
21,57,83855
21,58,83670
21,59,83772
21,60,83770
21,61,83754
21,62,83884
21,63,83830
21,64,83855
21,65,83769
21,66,83888
21,67,83760
21,68,83881
21,69,83817
21,70,83924
21,71,83784
21,72,83760
21,73,83775
21,74,83909
21,75,96634
21,76,102156
21,77,88472
21,78,88308
21,79,88158
21,80,88453
21,81,88054
21,82,88156
21,83,90665
21,84,96233
21,85,100154
21,86,84563
21,87,83974
21,88,86325
21,89,85884
21,90,83933
21,91,83785
21,92,94258
21,93,98624
21,94,100698
21,95,89101
21,96,88674
21,97,88999
21,98,88249
21,99,88487
21,100,104676
21,101,100941
21,102,84481
21,103,83894
21,104,83991
21,105,83726
21,106,83849
21,107,83725
21,108,97674
21,109,97828
21,110,84445
21,111,83908
21,112,83780
21,113,83876
21,114,83747
21,115,83853
21,116,83801
21,117,93106
21,118,105435
21,119,84693
21,120,83931
21,121,83891
21,122,83861
21,123,83940
21,124,83810
21,125,83974
21,126,99377
21,127,100405
21,128,88778
21,129,88552
21,130,88841
21,131,88609
21,132,88565
21,133,105853
21,134,99992
21,135,106622
21,136,89005
21,137,88788
21,138,88726
21,139,88443
21,140,95655
21,141,92667
21,142,112410
21,143,88645
21,144,89434
21,145,88872
21,146,88591
21,147,88579
21,148,101119
21,149,94565
21,150,84533
21,151,83898
21,152,83937
21,153,83855
21,154,84041
21,155,98333
21,156,94407
21,157,84470
21,158,83896
21,159,84055
21,160,83978
21,161,83990
21,162,93884
21,163,101925
21,164,88975
21,165,88452
21,166,88554
21,167,88618
21,168,89889
21,169,101004
21,170,94348
21,171,84345
21,172,84029
21,173,83903
21,174,84009
21,175,97118
21,176,85239
21,177,96922
21,178,92920
21,179,94636
21,180,92772
21,181,90505
21,182,90417
21,183,90309
21,184,92366
21,185,93118
21,186,97145
21,187,84592
21,188,84136
21,189,83997
21,190,86801
21,191,86272
21,192,94582
21,193,95265
21,194,84360
21,195,84099
21,196,84055
21,197,83975
21,198,92125
21,199,96878
21,200,101801
21,201,84328
21,202,83999
21,203,84023
41,1,321978
41,2,140509
41,3,136671
41,4,135199
41,5,134930
41,6,134436
41,7,147825
41,8,134931
41,9,134448
41,10,134114
41,11,134042
41,12,133883
41,13,153413
41,14,134290
41,15,134535
41,16,134144
41,17,134056
41,18,142848
41,19,134140
41,20,134551
41,21,133905
41,22,137698
41,23,148605
41,24,134563
41,25,140685
41,26,134531
41,27,134067
41,28,158582
41,29,143791
41,30,134113
41,31,133987
41,32,134007
41,33,133928
41,34,146188
41,35,133901
41,36,133911
41,37,133672
41,38,134043
41,39,133615
41,40,146209
41,41,134011
41,42,133880
41,43,133707
41,44,133878
41,45,133872
41,46,145106
41,47,133980
41,48,133918
41,49,133667
41,50,133886
41,51,144795
41,52,150368
41,53,138954
41,54,138472
41,55,152982
41,56,141340
41,57,159758
41,58,134842
41,59,133891
41,60,133910
41,61,133984
41,62,133744
41,63,146283
41,64,145018
41,65,134188
41,66,133882
41,67,133853
41,68,133994
41,69,133811
41,70,146851
41,71,134077
41,72,133953
41,73,133928
41,74,133735
41,75,133960
41,76,148518
41,77,134352
41,78,134002
41,79,133804
41,80,134124
41,81,133623
41,82,147136
41,83,146494
41,84,134789
41,85,133993
41,86,133805
41,87,133804
41,88,149957
41,89,133960
41,90,133954
41,91,133682
41,92,136539
41,93,145358
41,94,135753
41,95,134156
41,96,133752
41,97,133981
41,98,145798
41,99,134769
41,100,133905
41,101,133943
41,102,133857
41,103,145160
41,104,134226
41,105,133925
41,106,134664
41,107,133765
41,108,142653
41,109,134715
41,110,146187
41,111,137803
41,112,140484
41,113,156838
41,114,138516
41,115,138744
